Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
299,60,85,1335,FALSE,1.5,0,15/02/2026 13:04,FALSE,0,1,93,33,2520,,1.4,11,15/02/2026 13:46,FALSE,0,1,340DB72E,93,2,14,GF,60/85,982,982,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
460,32.2,0,4,0.91,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
470,32.3,0,4,0.92,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
480,32.1,0,4,0.91,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
490,31.9,0,4,0.91,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
500,32,0,4,0.91,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
510,32.1,0,4,0.91,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
520,31.3,0,4,0.9,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
530,30.3,0,4,0.87,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
540,30.4,0,3,0.87,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
550,31,0,3,0.89,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
560,30.7,0,4,0.88,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
570,29.7,0,3,0.86,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
580,29.5,0,3,0.86,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
590,28.9,0,3,0.84,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
600,28.3,0,3,0.83,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
610,28.7,0,3,0.84,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
620,28.2,0,3,0.83,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
630,27.3,0,3,0.81,0.22,0,0,4,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
640,27.1,0,3,0.8,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
650,26.1,0,3,0.78,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
660,26.1,0,3,0.78,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
670,26,0,3,0.78,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
680,25,0,3,0.76,0.22,0,0,5,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
690,24.1,0,3,0.74,0.22,0,0,6,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
700,23.1,0,3,0.72,0.22,0,0,7,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
710,22.4,0,3,0.7,0.22,0,0,9,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
720,23.7,0,3,0.73,0.22,0,0,7,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
730,23.6,0,3,0.73,0.22,0,0,7,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
